source_plot_id,plot_code,let_out_id,let_out_name,letout_b_area_id,tenancy_id,tenancy_area_sqm,consumed_fsi,built_up_area_rec,built_up_area_commercial,is_active,status,from_date,to_date,update_timestamp
3303,103010054,782,OLD R R NO.1015,791,10301431,32.9800,0.0000,0.0000,29.6820,True,,2004-04-01,2004-11-30,2022-10-21 00:00:00
3303,103010054,782,OLD R R NO.1015,790,10301431,32.9800,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3355,103010106,4359,WEST PORN OF SHED TW-2(HALF PN,931,10301625,6553.0000,1.0000,0.0000,6553.0000,True,,2004-04-01,,2022-10-21 00:00:00
3355,103010106,4359,WEST PORN OF SHED TW-2(HALF PN,930,10301625,6553.0000,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
8055,103010108,4562,GODOWN NO. E 52,664,10301204,417.2300,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8056,103010109,4563,NORTH OF GDN.NO.J-154 PLOT NO3,762,10301405,91.9700,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8057,103010110,4564,PART-OF JETHA  B-29,803,10301439,150.5000,0.0000,0.0000,64.7200,True,,2004-04-01,,2022-10-21 00:00:00
8057,103010110,4564,PART-OF JETHA  B-29,802,10301439,150.5000,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
8058,103010111,4565,OPEN JETHA D-45,809,10301445,227.4300,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8059,103010112,4566,OPEN JETHA D-46,810,10301446,227.4300,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8060,103010113,4567,OPOE  JETHA D-47,811,10301447,227.4300,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8061,103010114,4568,OPEN JETHA D 65,830,10301515,227.4300,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8062,103010115,4569,OPEN JETHA K 149,843,10301526,318.5600,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8063,103010116,4570,SITE AT JN.OF BDRY.RD.&FRANJI,847,10301529,369.4900,0.0000,0.0000,73.9000,True,,2004-04-01,,2022-10-21 00:00:00
