source_plot_id,plot_code,let_out_id,let_out_name,letout_status,tenancy_mapping_id,tenancy_id,unit_id,company_name,is_active,is_alloted,current_rent,current_rent_commercial,home_rate,non_home_rate,g_secrate,long_lease_years,agreement_start_date,agreement_end_date,lac_approval_date,chairman_approval_date,board_approval_date,tamps_approval_date,commencement_date,termination_date,is_upfront_premimum,upfront_premimum_amount,is_service_charge_applicable,percent_rate_revision,amount_rate_revision,update_timestamp
8051,102020043,4558,2 B (OLD 31B),A,3378,10202211,2,,False,False,,,,,,,,,,,,,,,False,,False,,,2022-11-15 17:04:38.791000
8052,102020044,4559,36,A,3379,10202215,2,,False,False,,,,,,,,,,,,,,,False,,False,4.00,,2022-11-15 17:04:38.791000
3225,102030003,633,5,A,512,10203104,2,,True,True,,,,,,,,,,,,,,,False,,False,4.00,,2025-10-01 10:04:00.476000
3225,102030003,633,5,A,4838,20701335,7,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:36:40.195000
3226,102030004,634,6,A,513,10203105,2,,True,True,,,,,,,,,,,,,,,False,,False,4.00,,2025-10-01 10:04:00.476000
3226,102030004,634,6,A,4839,20701335,7,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:36:40.195000
3230,102030008,638,12,A,517,10203111,2,,True,True,,,,,,,,,,,,,,,False,,False,4.00,,2025-10-01 10:04:00.476000
3230,102030008,638,12,A,4840,20701336,7,,True,True,,,,,,,,,,,,,,,False,,True,,,2023-12-05 11:12:16.822000
3231,102030009,639,13,A,518,10203126,2,,True,True,,,,,,,,,,,,,,,False,,False,4.00,,2025-10-01 10:04:00.476000
3231,102030009,639,13,A,4842,20701336,7,,True,True,,,,,,,,,,,,,,,False,,True,,,2023-12-05 11:12:16.822000
3235,102030013,643,2 AND 3,A,522,10203102,2,,True,True,,,,,,,,,,,,,,,False,,False,4.00,,2025-10-01 10:04:00.476000
3235,102030013,643,2 AND 3,A,4847,20701337,7,,True,True,,,,,,,,,,,,,,,False,,True,,,2023-12-05 11:12:16.822000
3235,102030013,5015,2 AND 3,A,3429,10203102,2,,True,True,,,,,,,,,,,,,,,False,25.00,False,,,2024-03-01 17:34:52.905000
3250,103010003,657,26(NORTH OF GDN.C-19),A,536,10301540,3,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2025-10-01 10:06:10.747000
3250,103010003,657,26(NORTH OF GDN.C-19),A,5137,20701341,7,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:36:40.195000
3255,103010008,662,6 (NORTH OG GDN.  NO C-42 ),A,541,10301535,3,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2025-10-01 10:06:10.747000
3255,103010008,662,6 (NORTH OG GDN.  NO C-42 ),A,4281,20701344,7,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:36:40.195000
3264,103010017,4186,EAST PORTION OF SHED TW-2,A,355,10301627,3,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-09-20 17:36:21.777000
3288,103010041,769,JETHA F 105,A,620,10301530,3,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2025-10-01 10:06:10.747000
3288,103010041,769,JETHA F 105,A,4968,20801511,8,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:39:08.951000
3288,103010041,5018,JETHA F 105,A,3432,10301530,3,,True,True,,,,,,,,,,,,,,,False,33.00,True,,,2024-03-01 17:34:54.687000
3289,103010042,770,"JETHA F 73,79,80,& 86 TO 104",A,621,10301102,3,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2025-10-01 10:06:10.747000
3289,103010042,770,"JETHA F 73,79,80,& 86 TO 104",A,4967,20801511,8,,True,True,,,,,,,,,,,,,,,False,,True,,,2023-12-06 02:21:49.643000
3290,103010043,771,JETHA PLINTHS A F G&B BLOCK,A,622,10301101,3,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-09-20 17:36:21.777000
3290,103010043,771,JETHA PLINTHS A F G&B BLOCK,A,4969,20801549,8,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:39:08.951000
3291,103010044,772,"LEASE JETHAS G 125,126,128&129",A,623,10301624,3,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-09-20 17:36:21.777000
3291,103010044,772,"LEASE JETHAS G 125,126,128&129",A,4970,20801608,8,,True,True,,,,,,,,,,,,,,,False,,True,,,2023-12-06 02:21:49.643000
3297,103010048,776,OLD ARP B 10,A,627,10301514,3,,True,True,,,,,,,,,,,,,,,False,,True,,,2023-12-18 12:06:39.106000
3297,103010048,776,OLD ARP B 10,A,4975,20801623,8,,True,True,,,,,,,,,,,,,,,False,,True,,,2023-12-06 02:21:49.643000
3303,103010054,782,OLD R R NO.1015,A,633,10301431,3,,True,True,,,,,,,,,,,,,,,False,,True,,,2023-12-18 12:06:39.106000
3303,103010054,782,OLD R R NO.1015,A,4286,20801644,8,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:39:08.951000
3355,103010106,4359,WEST PORN OF SHED TW-2(HALF PN,A,3205,10301625,3,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-09-20 17:36:21.777000
