"plot_id","plot_code","rr_no","street_no","main_structure_name","location","plot_area_sqm","let_out_id","let_out_name","tenancy_id","unit_id","agreement_start_date","agreement_end_date","long_lease_years","letout_area_sqm","consumed_fsi","proposed_use","lease_start_date","lease_end_date"
3107,"101050007","31",,PRIVATE STRUCTURE,SEWREE (EAST),1515.81,499,"31","10105203",1,,,,1515.8100,0.0000,"","1994-04-01",""
3107,"101050007","31",,PRIVATE STRUCTURE,SEWREE (EAST),1515.81,499,"31","10105203",1,,,,1515.8100,0.0000,"","1994-04-01",""
3107,"101050007","31",,PRIVATE STRUCTURE,SEWREE (EAST),1515.81,499,"31","10105203",1,,,,1515.8100,0.5800,"","1994-04-01",""
3107,"101050007","31",,PRIVATE STRUCTURE,SEWREE (EAST),1515.81,499,"31","20701110",7,,,,,,Any lawful user as may be permitted by MCGM in conformity with D.C.Regulations,"1994-04-01",""
3108,"101050008","36",,PRIVATE STRUCTURE,SEWREE (EAST),543.48,500,"36","10105113",1,,,,543.4800,0.0000,"","2003-10-01",""
3108,"101050008","36",,PRIVATE STRUCTURE,SEWREE (EAST),543.48,500,"36","10105113",1,,,,543.4800,1.1900,"","2003-10-01",""
3108,"101050008","36",,PRIVATE STRUCTURE,SEWREE (EAST),543.48,500,"36","20701110",7,,,,,,Any lawful user as may be permitted by MCGM in conformity with D.C.Regulations,"1994-04-01",""
3108,"101050008","36",,PRIVATE STRUCTURE,SEWREE (EAST),543.48,5001,"36","10105113",1,,,,,,"","2003-10-01",""
3119,"101050017",OLD RR 1858,,MBPT STRUCTURE,SEWREE (EAST),1957.74,4176,OLD RR 1858,,,,,,,,,,
3128,"101050026",LEASE OF PLOT,,PRIVATE STRUCTURE,SEWREE (EAST),379.69,517,LEASE OF PLOT,"10105150",1,,,,379.6900,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1957-02-08",""
3128,"101050026",LEASE OF PLOT,,PRIVATE STRUCTURE,SEWREE (EAST),379.69,517,LEASE OF PLOT,"10105150",1,,,,379.6900,1.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1957-02-08",""
3128,"101050026",LEASE OF PLOT,,PRIVATE STRUCTURE,SEWREE (EAST),379.69,517,LEASE OF PLOT,"20701121",7,,,,,,"","1885-10-06",""
3129,"101050027",LEASE OF PLOT 7,,PRIVATE STRUCTURE,SEWREE (EAST),2400.92,518,LEASE OF PLOT 7,"20701121",7,,,,,,"","1885-10-06",""
